energy,price,parking,realstate,rooms,square_meters,terrace,wc,construction_year,zone
999.0,520000.0,['Sin plaza parking'],Lucas Fox International Properties - Barcelona,3.0,78.0,,2.0,1930.0,"
                                    Dreta de l´Eixample
                                "
190.0,522000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,4.0,96.0,,2.0,2003.0,"
                                    Dreta de l´Eixample
                                "
165.0,330000.0,[],MonikaRusch,3.0,87.0,,2.0,,"
                                    Poble Sec
                                "
78.0,545000.0,['Sin plaza parking'],Lucas Fox International Properties - Barcelona,3.0,90.0,5.0,2.0,1890.0,"
                                    Esquerra Alta de l´Eixample
                                "
999.0,570000.0,['Sin plaza parking'],Lucas Fox International Properties - Barcelona,2.0,70.0,26.0,1.0,,"
                                    Dreta de l´Eixample
                                "
114.0,550000.0,[],aProperties,2.0,112.0,,2.0,1936.0,"
                                    Esquerra Baixa de l´Eixample
                                "
140.0,525000.0,[],Engel & Völkers,3.0,113.0,,2.0,1940.0,"
                                    Dreta de l´Eixample
                                "
172.0,215000.0,['Sin plaza parking'],Bppinvestment,3.0,75.0,,1.0,1955.0,"
                                    Sant Martí
                                "
,795000.0,[],Engel & Völkers,4.0,137.0,,2.0,1900.0,"
                                    Dreta de l´Eixample
                                "
999.0,295000.0,['Sin plaza parking'],Gestio i Garantia,2.0,82.0,,2.0,,"
                                    Barceloneta
                                "
,1175000.0,[],Engel & Völkers,4.0,202.0,,3.0,1900.0,"
                                    Dreta de l´Eixample
                                "
164.0,775000.0,['Sin plaza parking'],Housfy Real Estate,4.0,145.0,,2.0,1975.0,"
                                    Pedralbes
                                "
999.0,385000.0,['Sin plaza parking'],Meraki Capital,3.0,103.0,5.0,2.0,2004.0,"
                                    Sant Antoni
                                "
153.0,315000.0,['Sin plaza parking'],Gil Gestió Patrimonial,4.0,78.0,,1.0,,"
                                    Sant Ramon - Maternitat
                                "
999.0,540000.0,['Sin plaza parking'],Coldwell Banker Prestige Barcelona,2.0,75.0,,2.0,2015.0,"
                                    Sant Gervasi - Galvany
                                "
190.0,1375000.0,['Plaza parking '],Engel & Völkers,5.0,400.0,,5.0,1995.0,"
                                    Putget - Farró
                                "
333.0,260000.0,['Sin plaza parking'],Gil Gestió Patrimonial,2.0,87.0,,1.0,,"
                                    El Clot
                                "
33.0,685000.0,['Plaza parking '],La promo,3.0,89.0,64.0,2.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
109.0,765000.0,[],Luna Llar Family,3.0,128.0,6.0,2.0,1946.0,"
                                    Sant Gervasi - Galvany
                                "
118.0,398000.0,[],aProperties,2.0,75.0,,1.0,1999.0,"
                                    Fort Pienc
                                "
85.0,750000.0,[],aProperties,4.0,124.0,,2.0,1978.0,"
                                    Sarrià
                                "
33.0,499000.0,['Plaza parking '],La promo,2.0,81.0,9.0,2.0,,"
                                    Esquerra Baixa de l´Eixample
                                "
282.0,390000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",3.0,87.0,,2.0,,"
                                    Sagrada Família
                                "
,1550000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,5.0,287.0,15.0,4.0,1978.0,"
                                    Sant Gervasi - Galvany
                                "
100.0,1150000.0,[],aProperties,4.0,139.0,,3.0,1968.0,"
                                    Sarrià
                                "
58.0,219000.0,['Sin plaza parking'],Propietaris.Cat,2.0,72.0,,1.0,1977.0,"
                                    La Marina-Montjuïc
                                "
999.0,195000.0,['Sin plaza parking'],ProntoPiso,1.0,44.0,,1.0,1936.0,"
                                    Raval
                                "
222.0,660000.0,[],aProperties,3.0,104.0,,2.0,1960.0,"
                                    Sant Gervasi - Galvany
                                "
999.0,270000.0,['Sin plaza parking'],Barcelona Realty International,4.0,84.0,,1.0,1968.0,"
                                    La Bordeta
                                "
202.0,615000.0,[],aProperties,3.0,115.0,,3.0,1967.0,"
                                    Sant Gervasi - Galvany
                                "
52.0,399000.0,[],aProperties,2.0,71.0,,2.0,1930.0,"
                                    Esquerra Baixa de l´Eixample
                                "
131.0,525000.0,[],aProperties,3.0,88.0,,1.0,1941.0,"
                                    Dreta de l´Eixample
                                "
165.0,325000.0,['Sin plaza parking'],Ángela Clair Real Estate Consulting,3.0,94.0,18.0,2.0,1985.0,"
                                    Provençals del Poblenou
                                "
999.0,245000.0,['Sin plaza parking'],"Letsgocasa Real Estate, S.L.",1.0,54.0,,1.0,,"
                                    Poble Sec
                                "
999.0,580000.0,['Sin plaza parking'],U10 HABITATGES,3.0,120.0,13.0,2.0,,"
                                    Poblenou
                                "
34.0,1500000.0,['Plaza parking '],Lucas Fox International Properties - Barcelona,3.0,156.0,15.0,3.0,1950.0,"
                                    Sant Gervasi - Bonanova
                                "
,570000.0,[],Engel & Völkers,3.0,133.0,,2.0,1940.0,"
                                    Putget - Farró
                                "
320.0,495000.0,[],Engel & Völkers,1.0,131.0,,1.0,1970.0,"
                                    Putget - Farró
                                "
999.0,1500000.0,['Plaza parking '],Salarich Administració,5.0,250.0,10.0,4.0,,"
                                    Sarrià
                                "
157.0,120000.0,['Sin plaza parking'],Metropolis Life,2.0,42.0,3.0,1.0,1910.0,"
                                    Raval
                                "
211.0,749000.0,[],aProperties,3.0,128.0,,2.0,1966.0,"
                                    Sant Gervasi - Galvany
                                "
130.0,275000.0,['Sin plaza parking'],Remax Jumbo,3.0,74.0,,1.0,1936.0,"
                                    Esquerra Alta de l´Eixample
                                "
139.0,1190000.0,['Sin plaza parking'],ZAMACOIS MOLAS,3.0,190.0,,2.0,1910.0,"
                                    Vila de Gràcia
                                "
999.0,325000.0,['Sin plaza parking'],Acbar Real Estate,4.0,102.0,10.0,2.0,1970.0,"
                                    Sant Antoni
                                "
238.0,297500.0,['Sin plaza parking'],Peraire Servicios Inmobiliarios,2.0,75.0,,1.0,1936.0,"
                                    Can Baró
                                "
999.0,400000.0,['Sin plaza parking'],Coldwell Banker Prestige Barcelona,1.0,49.0,13.0,1.0,1912.0,"
                                    Glòries El Parc
                                "
289.0,1190000.0,['Sin plaza parking'],"Mas i Fill, S.L.U.",5.0,181.0,,3.0,,"
                                    Sarrià
                                "
